x_acceleration,y_acceleration,z_acceleration,soco
-1.032715,-0.4624023,0.1018066,0
-1.054199,-0.3129883,-0.01757813,0
-1.028076,-0.1323242,0.06225586,0
-1.026123,0.1027832,0.3098145,0
-0.9523926,0.1218262,0.2907715,0
-0.9174805,0.105957,0.1218262,0
-0.8620605,-0.07421875,-0.09399414,0
-0.8391113,-0.2336426,-0.1403809,0
-0.8955078,-0.1357422,0.07299805,0
-0.9311523,0.04003906,0.5246582,0
-0.9697266,0.02075195,0.5458984,0
-0.9689941,0.005859375,0.4863281,0
-0.9360352,-0.06420898,0.4484863,0
-0.9038086,-0.09350586,0.4460449,0
-0.8820801,-0.1132813,0.5053711,0
-0.8811035,-0.157959,0.638916,0
-0.8696289,-0.2644043,0.8515625,0
-0.8603516,-0.4528809,1.019775,0
-0.8620605,-0.6523438,1.105225,0
-0.8857422,-0.720459,1.139648,0
-0.9304199,-0.6633301,0.9501953,0
-0.8850098,-0.8510742,0.9123535,0
-0.895752,-1.018555,0.9887695,0
-0.8977051,-1.149902,1.015625,0
-0.845459,-0.8757324,0.8955078,0
-0.7954102,-0.4995117,0.8571777,0
-0.7937012,-0.1535645,0.8168945,0
-0.8305664,0.04492188,0.5512695,0
-0.7819824,-0.309082,0.02978516,0
-0.6489258,-0.2429199,-0.5288086,0
-0.6403809,0.4875488,-0.5637207,0
-0.628418,1.032471,-0.3789063,1
-0.6003418,1.178711,-0.4172363,1
-0.5666504,1.426514,-0.7111816,1
-0.6679688,1.743408,-0.9182129,1
-0.8706055,1.794189,-0.6999512,1
-1.073242,1.502686,-0.0222168,1
-1.105225,1.225342,0.1716309,1
-1.004883,0.7282715,0.01123047,0
-0.7541504,0.4108887,-0.4970703,0
-0.5585938,0.2045898,-0.9470215,0
-0.5241699,0.06542969,-0.8134766,0
-0.5895996,0.284668,-0.4470215,0
-0.692627,0.6015625,-0.2946777,0
-0.7429199,0.6135254,-0.3195801,0
-0.7819824,0.7412109,-0.3608398,0
-0.7675781,0.9753418,-0.4238281,0
-0.685791,0.9331055,-0.5349121,0
-0.671875,0.776123,-0.5019531,0
-0.767334,0.6552734,-0.4641113,0
-0.8549805,0.71875,-0.427002,0
-0.9804688,0.7822266,-0.1540527,0
-1.103271,0.7219238,0.0480957,0
-1.099854,0.4321289,-0.06762695,0
-1.000977,0.1276855,-0.1320801,0
-0.9555664,0.07299805,0.105957,0
-0.949707,0.1594238,0.3896484,0
-0.8845215,-0.08276367,0.5080566,0
-0.7971191,-0.3464355,0.3793945,0
-0.7810059,-0.5290527,0.1767578,0
-0.934082,-0.5778809,0.4091797,0
-1.105469,-0.4421387,0.815918,0
-1.114746,-0.2111816,0.9914551,0
-1.063965,-0.2661133,0.9462891,0
-0.9946289,-0.291748,0.7785645,0
-0.925293,-0.279541,0.7724609,0
-0.9350586,-0.1674805,0.9372559,0
-0.9343262,-0.1091309,1.002197,0
-0.8874512,-0.07348633,0.7819824,0
-0.8078613,-0.2211914,0.5895996,0
-0.8305664,-0.2429199,0.5539551,0
-0.8515625,-0.03149414,0.5537109,0
-1.214355,-0.401123,1.403076,0
-1.143066,-0.6181641,1.147705,0
-1.032959,-0.5939941,1.483643,0
-0.8049316,-0.5239258,1.795654,0
-0.7045898,-0.5002441,1.936035,0
-0.6276855,-0.7067871,1.704346,0
-0.4135742,-1.0271,1.325439,0
-0.07104492,-1.130127,0.7670898,0
0.2338867,-0.8322754,0.4016113,0
0.2521973,-0.348877,0.4995117,0
0.2402344,0.2275391,0.3435059,0
0.4672852,1.070557,-0.2873535,1
0.7536621,1.915527,-1.24707,1
0.7060547,1.999939,-1.814209,1
0.02612305,1.999939,-1.150635,1
-0.8803711,1.999939,0.7758789,1
-0.8605957,1.999939,1.969971,1
-0.208252,1.999939,1.635254,1
0.06738281,1.680664,0.7573242,1
0.03491211,0.8937988,0.5085449,1
-0.02246094,1.001221,0.6538086,1
-0.02416992,1.437256,0.8579102,1
0.1325684,1.543701,0.4204102,1
0.4697266,1.559082,-0.01782227,1
0.5649414,1.393555,-0.1437988,1
0.4238281,1.021973,0.4797363,1
0.1459961,0.9523926,0.9682617,1
0.107666,0.4787598,0.5048828,0
0.1047363,-0.137207,0.3388672,0
-0.04125977,-0.1225586,0.8334961,0
-0.05810547,-0.1184082,0.987793,0
-0.2028809,-0.2358398,1.220703,0
-0.4350586,-0.4584961,1.125244,0
-0.673584,-0.5061035,1.005615,0
-0.8688965,-0.4875488,1.062744,0
-1.021729,-0.3896484,1.176758,0
-1.098389,-0.4199219,1.344971,0
-1.064453,-0.2480469,1.176514,0
-1.086914,-0.2810059,1.072021,0
-1.091064,-0.078125,1.173096,0
-1.054688,-0.008056641,1.197754,0
-1.02417,-0.2004395,1.040283,0
-1.00293,-0.237793,0.9177246,0
-0.9448242,-0.1611328,0.7197266,0
-0.9516602,-0.1855469,0.6733398,0
-0.9233398,-0.1247559,0.6057129,0
-0.9404297,-0.1582031,0.7094727,0
-0.921875,-0.05541992,0.661377,0
-0.8962402,-0.01708984,0.6159668,0
-0.8642578,0.01074219,0.4882813,0
-0.8720703,-0.03930664,0.4226074,0
-0.8833008,-0.05004883,0.4248047,0
-0.8962402,-0.003417969,0.4711914,0
-0.9069824,0.03222656,0.4885254,0
-0.9189453,0.06860352,0.4677734,0
-0.9023438,0.03930664,0.3901367,0
-0.9025879,-0.04882813,0.3312988,0
-0.9165039,-0.06640625,0.3452148,0
-0.9289551,-0.03540039,0.4536133,0
-0.9626465,0.09179688,0.5090332,0
-1.041748,-0.7250977,0.7766113,0
-1.063232,-0.7043457,1.013184,0
-1.220703,-0.9587402,1.510498,0
-1.332031,-1.042725,1.848877,0
-1.324951,-0.7128906,1.579834,0
-1.253906,-0.3352051,1.272461,0
-1.101563,0.04125977,1.053223,0
-1.001709,0.03125,0.751709,0
-0.7441406,-0.6481934,0.3552246,0
-0.3415527,-0.2907715,-0.144043,0
