ax,ay,az,atotal,soco
-0.06,-0.14,0.08,0.17,0
-0.04,-0.17,0.03,0.17,0
-0.01,-0.11,-0.14,0.17,0
0.15,0.02,0.11,0.18,0
0.07,-0.09,-0.15,0.18,0
0.06,-0.17,0.05,0.18,0
0.05,0.07,0.16,0.18,0
0.05,0.02,0.18,0.18,0
0.05,-0.07,-0.16,0.18,0
-0.16,-0.1,0.02,0.18,0
-0.16,0.04,-0.09,0.18,0
-0.12,0.04,-0.13,0.18,0
-0.11,0.05,-0.14,0.18,0
-0.1,-0.16,0.02,0.18,0
-0.07,0.14,-0.1,0.18,0
-0.06,-0.16,0.07,0.18,0
-0.06,-0.14,0.1,0.18,0
-0.06,-0.15,0.08,0.18,0
-0.05,-0.12,-0.13,0.18,0
-0.03,-0.17,-0.06,0.18,0
-0.03,-0.18,-0.03,0.18,0
0.18,0.02,-0.07,0.19,0
0.11,0.09,0.13,0.19,0
0.08,-0.03,0.18,0.19,0
0.08,0.06,0.17,0.19,0
0.06,-0.16,0.09,0.19,0
0.02,-0.09,0.17,0.19,0
-0.15,-0.01,-0.13,0.19,0
-0.12,0.05,-0.14,0.19,0
-0.11,-0.15,0.04,0.19,0
-0.09,0.08,-0.15,0.19,0
-0.05,-0.13,-0.13,0.19,0
0.15,0.07,-0.12,0.2,0
0.12,0.17,0.02,0.2,0
0.09,-0.13,-0.13,0.2,0
0.06,-0.06,-0.19,0.2,0
0.04,0.05,0.19,0.2,0
0.02,-0.04,0.2,0.2,0
0.0,-0.06,-0.2,0.2,0
0.0,-0.05,0.2,0.2,0
-0.2,-0.06,0.01,0.2,0
-0.16,0.06,0.12,0.2,0
-0.14,0.02,0.15,0.2,0
-0.12,-0.02,-0.17,0.2,0
-0.1,-0.14,-0.12,0.2,0
-0.08,-0.15,0.11,0.2,0
-0.08,-0.19,-0.03,0.2,0
-0.07,-0.06,-0.18,0.2,0
0.17,-0.06,0.11,0.21,0
0.16,-0.11,-0.1,0.21,0
0.14,-0.16,0.02,0.21,0
0.08,-0.13,-0.15,0.21,0
0.06,-0.05,0.2,0.21,0
0.05,0.09,0.19,0.21,0
0.03,-0.04,0.21,0.21,0
0.01,-0.21,-0.03,0.21,0
0.0,0.0,0.21,0.21,0
-0.21,-0.06,0.02,0.21,0
-0.21,0.0,-0.02,0.21,0
-0.18,0.03,-0.11,0.21,0
-0.18,-0.06,0.1,0.21,0
-0.16,-0.08,-0.11,0.21,0
-0.16,-0.11,-0.09,0.21,0
-0.16,0.09,0.12,0.21,0
-0.15,0.01,-0.16,0.21,0
-0.11,-0.18,-0.04,0.21,0
-0.1,-0.19,-0.04,0.21,0
-0.08,0.19,0.06,0.21,0
-0.06,0.18,-0.1,0.21,0
-0.06,-0.2,0.05,0.21,0
-0.05,-0.15,-0.15,0.21,0
-0.05,-0.14,-0.16,0.21,0
-0.04,-0.2,0.07,0.21,0
-0.04,0.08,-0.19,0.21,0
0.2,0.09,-0.05,0.22,0
0.18,-0.12,0.05,0.22,0
0.17,-0.01,0.14,0.22,0
0.15,-0.12,0.12,0.22,0
0.11,-0.2,0.0,0.22,0
0.09,0.09,0.19,0.22,0
0.08,0.04,0.21,0.22,0
0.04,-0.18,0.13,0.22,0
0.03,-0.02,0.22,0.22,0
0.02,-0.16,0.15,0.22,0
0.02,0.2,0.1,0.22,0
0.01,0.07,0.21,0.22,0
-0.22,0.0,0.01,0.22,0
-0.16,-0.12,-0.11,0.22,0
-0.12,-0.06,-0.18,0.22,0
-0.07,0.03,-0.21,0.22,0
-0.05,-0.21,-0.05,0.22,0
-0.04,-0.12,0.19,0.22,0
0.17,-0.13,0.1,0.23,0
0.1,-0.19,0.09,0.23,0
0.09,-0.12,-0.18,0.23,0
0.02,0.18,0.15,0.23,0
0.01,-0.23,0.02,0.23,0
-0.22,0.03,-0.09,0.23,0
-0.19,0.05,-0.13,0.23,0
-0.15,0.03,-0.18,0.23,0
-0.15,0.05,-0.18,0.23,0
-0.14,0.08,-0.17,0.23,0
-0.08,0.21,0.07,0.23,0
-0.01,-0.17,0.16,0.23,0
0.22,-0.06,0.08,0.24,0
0.09,0.17,0.15,0.24,0
0.04,-0.11,0.22,0.24,0
0.03,-0.15,0.19,0.24,0
-0.24,-0.02,0.01,0.24,0
-0.2,-0.05,-0.13,0.24,0
-0.17,-0.14,0.11,0.24,0
-0.16,-0.1,-0.16,0.24,0
-0.15,0.11,-0.16,0.24,0
-0.13,0.15,0.14,0.24,0
-0.11,-0.18,0.13,0.24,0
-0.11,-0.09,0.2,0.24,0
-0.09,-0.15,-0.17,0.24,0
-0.08,-0.05,-0.23,0.24,0
-0.07,-0.08,-0.22,0.24,0
-0.07,-0.19,-0.13,0.24,0
-0.03,-0.22,-0.1,0.24,0
-0.01,-0.04,-0.24,0.24,0
0.08,-0.11,0.22,0.25,0
0.03,-0.12,-0.22,0.25,0
-0.22,-0.09,0.08,0.25,0
-0.2,-0.04,-0.15,0.25,0
-0.18,0.01,-0.18,0.25,0
-0.18,0.17,0.07,0.25,0
-0.16,0.11,0.16,0.25,0
-0.16,0.06,-0.19,0.25,0
-0.13,0.04,-0.21,0.25,0
-0.07,-0.17,0.18,0.25,0
-0.06,-0.09,-0.23,0.25,0
-0.05,0.12,0.22,0.25,0
-0.05,0.01,0.25,0.25,0
-0.04,-0.04,0.25,0.25,0
0.15,-0.16,0.14,0.26,0
0.09,0.25,0.01,0.26,0
0.07,0.05,0.25,0.26,0
0.05,-0.04,0.26,0.26,0
-0.26,-0.01,-0.04,0.26,0
-0.24,-0.07,0.1,0.26,0
-0.23,0.0,-0.13,0.26,0
-0.15,-0.11,0.19,0.26,0
-0.1,-0.04,-0.24,0.26,0
-0.1,-0.13,-0.21,0.26,0
-0.02,-0.08,0.25,0.26,0
-0.01,-0.16,-0.21,0.26,0
-0.01,-0.01,-0.26,0.26,0
0.14,-0.18,0.16,0.27,0
0.1,0.14,0.22,0.27,0
0.01,-0.27,-0.06,0.27,0
0.0,-0.15,0.23,0.27,0
-0.25,0.0,-0.12,0.27,0
-0.2,-0.05,-0.18,0.27,0
-0.15,0.16,-0.16,0.27,0
-0.14,0.01,-0.24,0.27,0
-0.13,-0.23,0.06,0.27,0
-0.11,-0.06,0.25,0.27,0
-0.03,-0.19,0.2,0.27,0
0.27,0.04,0.07,0.28,0
0.17,-0.17,0.15,0.28,0
0.1,-0.19,0.18,0.28,0
0.09,-0.13,-0.24,0.28,0
0.05,0.11,0.26,0.28,0
0.01,-0.06,0.28,0.28,0
-0.26,0.0,-0.12,0.28,0
-0.2,-0.17,0.11,0.28,0
-0.13,0.15,0.21,0.28,0
-0.09,-0.15,-0.23,0.28,0
-0.06,0.0,-0.28,0.28,0
0.17,-0.22,0.11,0.29,0
0.13,-0.17,0.21,0.29,0
0.05,0.23,-0.18,0.29,0
0.01,-0.08,0.28,0.29,0
-0.21,-0.01,0.2,0.29,0
-0.2,0.04,-0.21,0.29,0
-0.19,-0.07,-0.22,0.29,0
-0.16,0.21,-0.13,0.29,0
-0.14,0.21,0.15,0.29,0
-0.08,0.24,0.15,0.29,0
-0.06,-0.16,0.24,0.29,0
0.29,0.08,-0.03,0.3,0
0.03,0.28,0.12,0.3,0
-0.24,0.01,-0.19,0.3,0
-0.21,0.02,-0.22,0.3,0
-0.2,0.23,-0.04,0.3,0
-0.2,-0.06,0.22,0.3,0
-0.15,0.17,0.2,0.3,0
-0.14,-0.17,-0.21,0.3,0
-0.08,-0.16,-0.25,0.3,0
0.14,0.04,0.28,0.31,0
0.11,0.13,0.27,0.31,0
-0.2,-0.12,-0.21,0.31,0
-0.16,0.01,-0.27,0.31,0
-0.16,-0.05,-0.27,0.31,0
-0.14,0.01,-0.28,0.31,0
-0.09,-0.23,-0.19,0.31,0
0.12,0.06,0.3,0.32,0
0.09,-0.28,-0.13,0.32,0
0.04,0.09,0.31,0.32,0
-0.24,0.1,-0.19,0.32,0
-0.18,0.16,0.22,0.32,0
